epoch,loss_tr,loss_val,auPRC_macro,auPRC_micro,f1_at_threshold,coverage,LR
1,0.5289388516224467,0.5542013874684257,0.7530051340460449,0.7704143684428963,0.7915313852813853,100.0,0.001
2,0.49853301543051476,0.5467595723725256,0.7557616683535097,0.7709031753368334,0.7836550024050024,100.0,0.001
3,0.4962537749616089,0.5500035884565321,0.7568693341542646,0.7749182468835911,0.788224506974507,100.0,0.001
4,0.49462716401241785,0.5490723144391487,0.7552785200898979,0.7712533173913624,0.7751172438672439,100.0,0.001
5,0.49392028721158143,0.5485082660940872,0.7587844570239675,0.7750421213728891,0.7887205387205387,100.0,0.001
6,0.49391483224628807,0.5467047548970614,0.7599122489131073,0.7775183728876186,0.7844065656565656,100.0,0.001
7,0.493305268628588,0.54872348656257,0.7594509529610193,0.7752207761294793,0.7858946608946609,100.0,0.001
